,,
PRINTING VENDOR,ITEM,Details
A. NABAMUDRAN,Machine ID,M001
,Machine Size,28 x 40
,Machine Name,Heidelberg Speedmaster SM 102
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,Heidelberg
,Model,Speedmaster SM 102 
,Printing Colors,4 Color 
,Coater available,no
,Maximum Sheet Size,720 × 1020 mm
,Minimum Sheet Size,Approximately 340 × 480 mm
,Maximum Print Area,Approximately 710 × 1020 mm
,Gripper Margin,10–12 mm
,Printing Speed,"Up to 13,000 sheets/hour"
,Plate Type,Aluminum CTP / Conventional Offset Plate
,Plate size,Approx. 790 × 1030 mm
,Blanket Type,Compressible Rubber Offset Blanket
,Make Ready time,20–30 minutes (depends on job change)
,Washup time,10 minutes
,Plate cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,Sector 5 (Kolkata)
,,
,,
,Field,Details
B. NABAMUDRAN,Machine ID,M002
,Machine Size,20 x 30
,Machine Name,MAN Roland 200
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,MAN Roland
,Model,Roland 200 Series
,Printing Colors,5 Color configurations available 
,Coater Available,Generally No 
,Maximum Sheet Size,520 × 740 mm
,Minimum Sheet Size,Approximately 210 × 280 mm
,Maximum Print Area,Approximately 510 × 740 mm
,Gripper Margin,10–12 mm
,Printing Speed,"Up to 10,000–13,000 sheets/hour"
,Plate Type,Aluminum Offset Plate (CTP )
,Plate Size, 605 × 745 mm
,Blanket Type,Compressible Rubber Offset Blanket
,Make Ready Time,15–30 minutes
,Washup Time,5–10 minutes
,Plate Cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,Sector 5 (Kolkata)
,,
,,
,Field,Details
C. NABAMUDRAN,Machine ID,M003
,Machine size,28 x 40
,Machine Name,"Parva 28"" × 40"" "
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,Parva
,Model,"28"" × 40"""
,Printing Colors,2 Color
,Coater Available,No
,Maximum Sheet Size,"711 × 1016 mm (28"" × 40"")"
,Minimum Sheet Size,Approximately 330 × 480 mm
,Maximum Print Area,Approximately 700 × 1000 mm
,Gripper Margin,10–12 mm
,Printing Speed,"8,000–10,000 sheets/hour"
,Plate Type,Aluminum Offset Plate
,Plate Size,800 × 1030 mm
,Blanket Type,Compressible Rubber Offset Blanket
,Make Ready Time,20–30 minutes
,Washup Time,5–10 minutes
,Plate Cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,Sector 5 (Kolkata)
,,
,,
,,
,Field,Details
A. BALAJI,Machine ID,M004
,Machine Size,28 x 40
,Machine Name,Komori Lithrone L-40
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,Komori
,Model,Lithrone L-40
,Printing Colors,4 color
,Coater Available,no
,Maximum Sheet Size,720 × 1030 mm
,Minimum Sheet Size,Approximately 360 × 520 mm
,Maximum Print Area,Approximately 710 × 1020 mm
,Gripper Margin,10–12 mm
,Printing Speed,"Up to 15,000 sheets/hour"
,Plate Type,Aluminum CTP / Conventional Offset Plate
,Plate Size, 800 × 1030 mm
,Blanket Type,Compressible Rubber Offset Blanket
,Make Ready Time,20-30 minutes
,Washup Time,15 minutes
,Plate Cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,Ultodanga
,,
,,
,Field,Details
B. BALAJI,Machine ID,M005
,Machine size,22 x 32
,Machine Name,Komori Lithrone 32 (L-32)
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,Komori
,Model,Lithrone 32 (L-32)
,Printing Colors,4 Color 
,Coater Available,
,Maximum Sheet Size,560 x 820 mm
,Minimum Sheet Size,Approximately 297 × 420 mm
,Maximum Print Area,Approximately 550 x 810 mm
,Gripper Margin,10–12 mm
,Printing Speed,"Up to 13,000 sheets/hour"
,Plate Type,Aluminum CTP / Conventional Offset Plate
,Plate Size,660 x 780
,Blanket Type,Compressible Rubber Offset Blanket
,Make Ready Time,10–20 minutes
,Washup Time,3–8 minutes
,Plate Cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,Ultodanga
,,
,,
,Field,Details
C. BALAJI,Machine ID,M006
,Machine Size,28 x 40
,Machine Name,"Heidelberg 28"" × 40"" Coating Machine"
,Machine Type,Offline Sheet Coating Machine
,Brand,Heidelberg
,Model,"28"" × 40"" Coating Unit"
,Printing Colors,N/A (Coating Machine)
,Coater Available,Yes
,Maximum Sheet Size,"711 × 1016 mm (28"" × 40"")"
,Minimum Sheet Size,Approximately 350 × 450 mm
,Maximum Print Area,Approximately 700 × 1000 mm
,Gripper Margin,10–12 mm
,Printing Speed,"6,000–10,000 sheets/hour"
,Plate Type,Not Applicable
,Plate Size,800x1030
,Blanket Type,Coating Blanket / Coating Cylinder Rubber Blanket
,Make Ready Time,30 minutes
,Washup Time,10–15 minutes
,Plate Cost per Plate,
,Minimum Printing Cost,
,Subsequent Printing Cost,
,Location,ultodanga
,,
,,
,,
,ITEM,Details
A. DARPAN,Machine ID,M007
,Machine Size,28 x 40
,Machine Name,Heidelberg Speedmaster SM 102
,Machine Type,Sheet-Fed Offset Printing Machine
,Brand,Heidelberg
,Model,Speedmaster SM 102 
,Printing Colors,4 Color 
,Coater available,no
,Maximum Sheet Size,720 × 1020 mm
,Minimum Sheet Size,Approximately 340 × 480 mm
,Maximum Print Area,Approximately 710 × 1020 mm
,Gripper Margin,10–12 mm
